Product Description,Company,Model,Color,RAM,ROM,Offers,Price,Exchange Offer,Ratings
Nokia 105 SS 2021,Nokia , 105 SS 2021,,,,,"₹1,349",,4.2
Nokia 105 SS 2021,Nokia , 105 SS 2021,,,,,"₹1,225",,4.2
Nokia TA-1010/105,Nokia , TA,,,,,"₹1,210",,4.3
Nokia 105 DS 2020,Nokia , 105 DS 2020,,,,15% off,"₹1,349",,4.2
"Infinix Hot 10 (Moonlight Jade, 128 GB)",Infinix , Hot 10 ,Moonlight Jade,6 GB,128 GB,21% off,"₹10,999","Upto ₹10,450 Off on Exchange",4.3
"realme 8 5G (Supersonic Black, 128 GB)",realme , 8 5G ,Supersonic Black,4 GB,128 GB,11% off,"₹14,999","Upto ₹14,450 Off on Exchange",4.3
"realme 8 5G (Supersonic Black, 128 GB)",realme , 8 5G ,Supersonic Black,8 GB,128 GB,10% off,"₹16,999","Upto ₹15,300 Off on Exchange",4.3
"POCO C3 (Arctic Blue, 64 GB)",POCO , C3 ,Arctic Blue,4 GB,64 GB,22% off,"₹8,499","Upto ₹7,950 Off on Exchange",4.3
"REDMI Note 9 (Aqua Green, 64 GB)",REDMI , Note 9 ,Aqua Green,4 GB,64 GB,26% off,"₹10,999","Upto ₹10,450 Off on Exchange",4.3
"REDMI 9i (Sea Blue, 64 GB)",REDMI , 9i ,Sea Blue,4 GB,64 GB,20% off,"₹7,999","Upto ₹7,450 Off on Exchange",4.3
"REDMI 9 Power (Blazing Blue, 64 GB)",REDMI , 9 Power ,Blazing Blue,4 GB,64 GB,25% off,"₹10,499","Upto ₹9,900 Off on Exchange",4.3
"POCO M3 (Power Black, 128 GB)",POCO , M3 ,Power Black,6 GB,128 GB,20% off,"₹11,999","Upto ₹11,200 Off on Exchange",4.3
GFive A2,GFive , A2,,,,,₹799,,3.8
GFive A2,GFive , A2,,,,,₹799,,3.8
"POCO X3 (Shadow Gray, 64 GB)",POCO , X3 ,Shadow Gray,6 GB,64 GB,25% off,"₹14,999","Upto ₹14,450 Off on Exchange",4.4
"realme C25 (Watery Grey, 64 GB)",realme , C25 ,Watery Grey,4 GB,64 GB,13% off,"₹9,499","Upto ₹8,950 Off on Exchange",4.4
"REDMI 9i (Nature Green, 128 GB)",REDMI , 9i ,Nature Green,4 GB,128 GB,2% off,"₹9,769",,4.3
LAVA A1 Josh,LAVA , A1 Josh,,,,17% off,₹955,,4.2
"POCO X3 Pro (Graphite Black, 128 GB)",POCO , X3 Pro ,Graphite Black,8 GB,128 GB,19% off,"₹20,999","Upto ₹15,300 Off on Exchange",4.4
"OPPO A53s 5G (Crystal Blue, 128 GB)",OPPO , A53s 5G ,Crystal Blue,6 GB,128 GB,11% off,"₹14,990","Upto ₹14,450 Off on Exchange",4.3
"OPPO A53s 5G (Crystal Blue, 128 GB)",OPPO , A53s 5G ,Crystal Blue,8 GB,128 GB,10% off,"₹16,990","Upto ₹15,300 Off on Exchange",4.3
LAVA A1 Josh,LAVA , A1 Josh,,,,15% off,₹955,,4.2
"realme Narzo 30 Pro 5G (Sword Black, 64 GB)",realme , Narzo 30 Pro 5G ,Sword Black,6 GB,64 GB,21% off,"₹14,999","Upto ₹14,450 Off on Exchange",4.4
