Product Description,Company,Model,Color,RAM,ROM,Offers,Price,Exchange Offer,Ratings
"SAMSUNG Galaxy A12 (White, 64 GB)",SAMSUNG , Galaxy A12 ,White,4 GB,64 GB,7% off,"₹12,999","Upto ₹12,250 Off on Exchange",4.2
"SAMSUNG Galaxy M51 (Electric Blue, 128 GB)",SAMSUNG , Galaxy M51 ,Electric Blue,8 GB,128 GB,,"₹25,260",,4.4
"Mi 10i (Atlantic Blue, 128 GB)",Mi , 10i ,Atlantic Blue,8 GB,128 GB,,"₹25,265",,4.3
"Mi 10i (Pacific Sunrise, 128 GB)",Mi , 10i ,Pacific Sunrise,8 GB,128 GB,5% off,"₹25,498",,4.3
"I Kall K900 (Blue, 64 GB)",I , Kall K900 ,Blue,4 GB,64 GB,,"₹5,699",,3.0
"SAMSUNG M31 Prime (Space Black, 128 GB)",SAMSUNG , M31 Prime ,Space Black,6 GB,128 GB,,"₹16,999",,4.4
"Redmi Note 9 Pro (Glacier White, 64 GB)",Redmi , Note 9 Pro ,Glacier White,4 GB,64 GB,,"₹15,495",,4.4
"SAMSUNG Galaxy F41 (Fusion Blue, 64 GB)",SAMSUNG , Galaxy F41 ,Fusion Blue,6 GB,64 GB,20% off,"₹15,999","Upto ₹15,300 Off on Exchange",4.3
"APPLE iPhone 12 Mini (Black, 128 GB)",APPLE , iPhone 12 Mini ,Black,,128 GB,2% off,"₹72,900","Upto ₹15,300 Off on Exchange",4.5
Itel Muzik 400 Core,Itel , Muzik 400 Core,,,,11% off,"₹1,280",,4.2
Itel Muzik 400 Core,Itel , Muzik 400 Core,,,,,"₹1,285",,4.2
Itel Muzik 400 Core,Itel , Muzik 400 Core,,,,,"₹1,285",,4.2
Quick Shel MTM16,Quick , Shel MTM16,,,,,"₹1,000",,3.4
"POCO F1 (Armoured Edition, 256 GB)",POCO , F1 ,Armoured Edition,8 GB,256 GB,,"₹30,999","Upto ₹15,300 Off on Exchange",4.5
"SAMSUNG Galaxy A21s (Blue, 128 GB)",SAMSUNG , Galaxy A21s ,Blue,6 GB,128 GB,7% off,"₹17,499","Upto ₹15,300 Off on Exchange",4.2
"POCO F1 (Rosso Red, 256 GB)",POCO , F1 ,Rosso Red,8 GB,256 GB,,"₹19,999",,4.5
"Panasonic Eluga Z1 Pro (Gold, 64 GB)",Panasonic , Eluga Z1 Pro ,Gold,4 GB,64 GB,,"₹9,150",,4.3
"APPLE iPhone 12 Mini (Blue, 64 GB)",APPLE , iPhone 12 Mini ,Blue,,64 GB,2% off,"₹67,900","Upto ₹15,300 Off on Exchange",4.5
anee Y1 Lite,anee , Y1 Lite,,,,6% off,₹657,,4.6
Micromax X389,Micromax , X389,,,,,"₹1,019",,4.3
"MI 11X 5G (CELESTIAL SILVER, 128 GB)",MI , 11X 5G ,CELESTIAL SILVER,6 GB,128 GB,,"₹29,950",,4.5
"realme X2 (Pearl White, 64 GB)",realme , X2 ,Pearl White,4 GB,64 GB,,"₹17,999","Upto ₹15,300 Off on Exchange",4.5
LAVA A1200,LAVA , A1200,,,,,"₹1,349",,4.2
Forme N9,Forme , N9,,,,,₹725,,3.5
"Micromax IN 1 (Blue, 64 GB)",Micromax , IN 1 ,Blue,4 GB,64 GB,33% off,"₹9,999","Upto ₹9,450 Off on Exchange",4.3
Snexian BOLD 511,Snexian , BOLD 511,,,,,"₹1,249",,3.7
"ViVO Y81i (Gold, 16 GB)",ViVO , Y81i ,Gold,2 GB,16 GB,,"₹10,990","Upto ₹10,450 Off on Exchange",4.4
"OPPO A5s (Blue, 32 GB)",OPPO , A5s ,Blue,2 GB,32 GB,30% off,"₹8,990","Upto ₹8,350 Off on Exchange",4.3
Snexian ROCK R2,Snexian , ROCK R2,,,,,"₹1,299",,4.2
Micromax X743,Micromax , X743,,,,,"₹1,195",,3.3
KARBONN K2 Boom Box,KARBONN , K2 Boom Box,,,,,₹990,,3.9
Easyfone Royale,Easyfone , Royale,,,,,"₹3,750",,4.1
Kechaoda A25,Kechaoda , A25,,,,,₹948,,4.0
Kechaoda A25,Kechaoda , A25,,,,,₹999,,4.0
Kechaoda A25,Kechaoda , A25,,,,,₹919,,4.0
Ismart IS-101 Ferrari,Ismart , IS,,,,,"₹1,390",,4.0
"APPLE iPhone 12 (Red, 64 GB)",APPLE , iPhone 12 ,Red,,64 GB,2% off,"₹77,900","Upto ₹15,300 Off on Exchange",4.6
Ismart IS-101 Ferrari,Ismart , IS,,,,,"₹1,390",,4.0
"realme X50 Pro 5G (Rust Red, 256 GB)",realme , X50 Pro 5G ,Rust Red,12 GB,256 GB,35% off,"₹30,999","Upto ₹15,300 Off on Exchange",4.2
"SAMSUNG Galaxy A12 (White, 128 GB)",SAMSUNG , Galaxy A12 ,White,4 GB,128 GB,6% off,"₹13,999","Upto ₹13,300 Off on Exchange",4.2
"Nokia 5.3 (CHARCOAL, 64 GB)",Nokia , 5,CHARCOAL,6 GB,64 GB,,"₹12,999",,3.7
GFive U106 & A1 Combo of Two Mobiles,GFive , U106 ,,,,,"₹1,169",,3.3
"SAMSUNG Galaxy A21s (Silver, 128 GB)",SAMSUNG , Galaxy A21s ,Silver,6 GB,128 GB,7% off,"₹17,499","Upto ₹15,300 Off on Exchange",4.2
I Kall K3312,I , Kall K3312,,,,,₹799,,3.5
"OPPO A7 (Glaring Gold, 64 GB)",OPPO , A7 ,Glaring Gold,3 GB,64 GB,25% off,"₹11,999",,4.3
Itel Muzik 110,Itel , Muzik 110,,,,5% off,"₹1,089",,4.7
Itel Muzik 110,Itel , Muzik 110,,,,,"₹1,199",,4.7
"SAMSUNG Galaxy A70s (Prism Crush Red, 128 GB)",SAMSUNG , Galaxy A70s ,Prism Crush Red,8 GB,128 GB,,"₹33,100","Upto ₹15,300 Off on Exchange",4.4
"OPPO A52 (Stream White, 128 GB)",OPPO , A52 ,Stream White,4 GB,128 GB,,"₹15,990",,4.4
"MI 11X 5G (COSMIC BLACK, 128 GB)",MI , 11X 5G ,COSMIC BLACK,6 GB,128 GB,,"₹29,888",,4.5
Kechaoda A18,Kechaoda , A18,,,,,₹990,,4.0
KARBONN K106S,KARBONN , K106S,,,,,₹845,,3.5
"Redmi K20 (Glacier Blue, 128 GB)",Redmi , K20 ,Glacier Blue,6 GB,128 GB,,"₹24,999","Upto ₹15,300 Off on Exchange",4.5
Intex Turbo 108+,Intex , Turbo 108,,,,,"₹1,290",,3.8
Itel ACE,Itel , ACE,,,,,₹848,,4.0
Nokia 3310 DS 2020,Nokia , 3310 DS 2020,,,,7% off,"₹3,899",,3.8
Jivi X606,Jivi , X606,,,,,₹899,,3.4
KARBONN Kphone X,KARBONN , Kphone X,,,,,"₹1,299",,3.8
BlackZone S9,BlackZone , S9,,,,7% off,"₹1,049",,3.4
GFive U331 & U106 Combo of Two,GFive , U331 ,,,,,"₹1,299",,3.6
"MOTOROLA G9 (Sapphire Blue, 64 GB)",MOTOROLA , G9 ,Sapphire Blue,4 GB,64 GB,26% off,"₹10,999","Upto ₹10,450 Off on Exchange",4.2
GFive Leo,GFive , Leo,,,,,₹799,,3.6
GFive Leo,GFive , Leo,,,,,₹770,,3.6
Itel MAGIC 2 MAX,Itel , MAGIC 2 MAX,,,,1% off,"₹1,439",,4.0
"APPLE iPhone 12 Mini (White, 128 GB)",APPLE , iPhone 12 Mini ,White,,128 GB,2% off,"₹72,900","Upto ₹15,300 Off on Exchange",4.5
"REDMI Note 10S (Frost White, 64 GB)",REDMI , Note 10S ,Frost White,6 GB,64 GB,,"₹16,299",,4.1
"OPPO Reno4 Pro (Starry Night, 128 GB)",OPPO , Reno4 Pro ,Starry Night,8 GB,128 GB,7% off,"₹34,990","Upto ₹15,300 Off on Exchange",4.4
"ViVO Y91i (Ocean Blue, 32 GB)",ViVO , Y91i ,Ocean Blue,3 GB,32 GB,20% off,"₹7,990","Upto ₹7,450 Off on Exchange",4.3
Salora KT24+ Vishaal,Salora , KT24,,,,,₹959,,3.6
"ViVO V20 2021 (Sunset Melody, 256 GB)",ViVO , V20 2021 ,Sunset Melody,8 GB,256 GB,9% off,"₹27,990","Upto ₹15,300 Off on Exchange",4.4
"Redmi Note 9 Pro (Champagne Gold, 128 GB)",Redmi , Note 9 Pro ,Champagne Gold,4 GB,128 GB,5% off,"₹16,975",,4.4
Snexian BOLD 511,Snexian , BOLD 511,,,,,"₹1,249",,3.7
"REDMI 9 (CarbonBlack, 128 GB)",REDMI , 9 ,CarbonBlack,4 GB,128 GB,,"₹11,980",,4.2
"realme Narzo 10A (So White, 64 GB)",realme , Narzo 10A ,So White,4 GB,64 GB,,"₹10,990",,4.5
BlackZone S16,BlackZone , S16,,,,6% off,"₹1,029",,4.0
GFive C5,GFive , C5,,,,,₹799,,
"Honor 9S (Blue, 32 GB)",Honor , 9S ,Blue,2 GB,32 GB,18% off,"₹6,499","Upto ₹5,900 Off on Exchange",3.8
Itel ACE,Itel , ACE,,,,,₹848,,4.0
Infocus POWER 2,Infocus , POWER 2,,,,,"₹1,240",,3.8
"Coolpad Mega 5M (Gold, 16 GB)",Coolpad , Mega 5M ,Gold,1 GB,16 GB,,"₹4,139",,3.5
GFive U106 & A1 Combo of Two Mobiles,GFive , U106 ,,,,,"₹1,169",,3.3
I Kall K 18 NEW,I , Kall K 18 NEW,,,,10% off,₹979,,3.6
"POCO F1 (Steel Blue, 128 GB)",POCO , F1 ,Steel Blue,6 GB,128 GB,,"₹24,999","Upto ₹15,300 Off on Exchange",4.5
"APPLE iPhone 12 (Red, 128 GB)",APPLE , iPhone 12 ,Red,,128 GB,2% off,"₹82,900","Upto ₹15,300 Off on Exchange",4.6
Forme N1,Forme , N1,,,,,₹790,,3.6
"SAMSUNG Galaxy S21 Plus (Phantom Black, 256 GB)",SAMSUNG , Galaxy S21 Plus ,Phantom Black,8 GB,256 GB,27% off,"₹75,999","Upto ₹15,300 Off on Exchange",4.3
GFive U331 & U229 Combo of Two Mobiles,GFive , U331 ,,,,,"₹1,299",,
GFive U331 & U229 Combo of Two Mobiles,GFive , U331 ,,,,7% off,"₹1,299",,
GFive U331 & U229 Combo of Two Mobiles,GFive , U331 ,,,,,"₹1,299",,
GFive U331 & U229 Combo of Two Mobiles,GFive , U331 ,,,,,"₹1,299",,
"Panasonic Eluga Ray 800 (Gold, 64 GB)",Panasonic , Eluga Ray 800 ,Gold,4 GB,64 GB,,"₹8,990",,3.8
LAVA A5,LAVA , A5,,,,,"₹1,399",,4.1
Kechaoda K-9,Kechaoda , K,,,,,"₹1,180",,4.0
"ViVO V20 (Sunset Melody, 256 GB)",ViVO , V20 ,Sunset Melody,8 GB,256 GB,9% off,"₹27,990","Upto ₹15,300 Off on Exchange",4.4
"REDMI Note 9 Pro Max (Interstellar Black, 64 GB)",REDMI , Note 9 Pro Max ,Interstellar Black,6 GB,64 GB,10% off,"₹16,999","Upto ₹15,300 Off on Exchange",4.4
"Redmi K20 (Glacier Blue, 128 GB)",Redmi , K20 ,Glacier Blue,6 GB,128 GB,,"₹24,999","Upto ₹15,300 Off on Exchange",4.5
Itel Muzik110,Itel , Muzik110,,,,,"₹1,098",,4.2
KXD M2+,KXD , M2,,,,,₹799,,3.8
